,시도코드,시도명,시군구명,인당시설수,인당시설수순위,양호시설비율,주의필요시설비율,2019비만유병률_표준화율 (%),2019걷기실천율_표준화율 (%),2019스트레스인지율_표준화율 (%),2019연간체중조절시도율_표준화율 (%),2019중증도이상신체활동실천율_표준화율 (%),주거지역,상업지역,공업지역,녹지지역,수도권여부,y,grade
165,36020,전라남도,여수시,0.000239,81.5,0.9298245614035088,0.0701754385964912,40.1,50.4,26.7,70.9,32.1,7.41,0.87,17.08,62.32,비수도권,51.2,B
166,36030,전라남도,순천시,0.000279,66.5,0.8636363636363636,0.1363636363636363,34.8,32.3,22.6,64.2,22.9,11.38,1.6,2.46,84.56,비수도권,58.0,A
167,36040,전라남도,나주시,1.7999999999999997e-05,158.2,0.0909090909090909,0.9090909090909092,31.0,31.4,27.7,59.0,33.4,16.19,1.35,3.8,78.66,비수도권,57.6,A
168,36060,전라남도,광양시,0.000206,75.9,0.9032258064516128,0.0967741935483871,34.6,35.4,23.3,57.2,20.4,9.99,1.28,27.6,47.14,비수도권,56.3,A
169,36310,전라남도,담양군,0.000102,135.2,0.6,0.4,30.2,22.7,21.9,51.6,33.6,7.49,0.25,0.48,91.78,비수도권,53.6,B
170,36320,전라남도,곡성군,2.9e-05,136.1,0.9047619047619048,0.0952380952380952,38.7,40.4,27.3,45.4,39.4,14.24,2.07,1.58,82.11,비수도권,55.7,A
171,36330,전라남도,구례군,0.0001139999999999,130.5,1.0,0.0,33.8,34.3,19.3,59.5,56.9,20.91,3.19,1.51,74.4,비수도권,68.2,A
172,36350,전라남도,고흥군,0.000393,89.1,0.9411764705882352,0.0588235294117647,34.6,50.5,20.8,52.4,29.9,10.62,1.69,5.46,70.81,비수도권,70.4,A
173,36360,전라남도,보성군,0.000197,104.5,0.8780487804878049,0.1219512195121951,29.7,37.5,18.6,36.4,18.9,12.44,2.42,0.61,84.53,비수도권,63.2,A
174,36370,전라남도,화순군,0.0003059999999999,113.4,0.873015873015873,0.1269841269841269,33.0,42.1,27.7,64.8,21.2,6.11,0.75,1.56,91.58,비수도권,56.9,A
175,36380,전라남도,장흥군,0.0001309999999999,109.1,0.5581395348837209,0.4418604651162791,39.3,42.8,17.7,60.7,26.6,8.01,1.25,5.92,84.82,비수도권,61.0,A
176,36390,전라남도,강진군,0.000259,115.9,1.0,0.0,36.3,28.6,24.4,63.2,16.3,15.8,2.24,5.23,71.98,비수도권,59.7,A
177,36400,전라남도,해남군,0.000136,107.2,0.8571428571428571,0.1428571428571428,35.4,25.4,23.4,41.1,21.4,16.4,4.11,11.43,54.96,비수도권,54.1,B
178,36410,전라남도,영암군,0.000134,79.1,0.864406779661017,0.135593220338983,42.6,50.4,30.9,47.9,28.1,8.69,1.21,14.59,47.92,비수도권,48.5,B
179,36420,전라남도,무안군,0.000139,82.0,1.0,0.0,38.3,45.0,21.0,56.3,16.0,24.09,3.36,1.86,70.7,비수도권,62.5,A
180,36430,전라남도,함평군,0.0001139999999999,129.2,0.5,0.5,35.3,22.1,22.0,46.5,28.4,12.6,1.4,10.84,75.15,비수도권,61.7,A
181,36440,전라남도,영광군,0.000397,94.5,0.9818181818181818,0.0181818181818181,37.2,31.1,29.5,63.5,30.8,10.15,1.81,15.17,69.84,비수도권,55.6,A
182,36450,전라남도,장성군,0.000335,95.6,0.951219512195122,0.048780487804878,35.3,30.6,25.1,54.5,41.2,8.52,0.74,3.16,87.57,비수도권,51.5,B
183,36460,전라남도,완도군,0.000202,97.1,0.8,0.2,43.9,33.4,17.5,45.5,28.8,10.03,2.26,1.98,72.44,비수도권,63.8,A
184,36470,전라남도,진도군,0.000444,97.5,0.0,0.0,42.2,26.6,26.6,68.1,42.9,10.27,1.51,3.99,84.24,비수도권,51.6,B
185,36480,전라남도,신안군,0.000255,129.8,1.0,0.0,31.7,26.1,11.8,40.5,28.6,7.87,1.67,1.44,89.02,비수도권,79.4,A
186,37010,경상북도,포항시,0.000204,73.7,0.940928270042194,0.0590717299578059,37.8,34.3,25.4,71.2,23.0,10.8,1.51,10.62,52.68,비수도권,54.1,B
187,37020,경상북도,경주시,0.000116,102.5,0.853448275862069,0.146551724137931,35.4,30.0,25.3,66.0,18.2,4.83,0.63,6.47,87.82,비수도권,50.1,B
188,37030,경상북도,김천시,9.1e-05,130.0,0.7391304347826086,0.2608695652173913,33.7,26.3,24.1,55.3,20.8,21.28,2.51,10.03,65.12,비수도권,62.0,A
189,37040,경상북도,안동시,0.000354,104.0,0.9787234042553192,0.0212765957446808,33.7,23.9,25.3,64.7,25.0,18.73,2.44,3.03,75.79,비수도권,51.6,B
190,37050,경상북도,구미시,0.000166,91.9,0.9757575757575756,0.0242424242424242,34.3,33.0,25.4,63.3,21.3,14.7,1.92,15.32,68.06,비수도권,45.8,B
191,37060,경상북도,영주시,8.7e-05,135.2,0.6666666666666666,0.3333333333333333,33.9,34.7,21.8,71.3,28.1,16.54,2.61,6.31,74.54,비수도권,54.8,B
192,37070,경상북도,영천시,0.000186,117.0,0.92,0.08,37.9,27.6,25.1,64.6,39.2,15.77,1.57,16.1,66.57,비수도권,51.5,B
193,37080,경상북도,상주시,0.000427,119.7,0.7777777777777778,0.2222222222222222,26.8,23.3,14.1,39.3,54.8,17.84,2.24,5.69,74.22,비수도권,59.6,A
194,37090,경상북도,문경시,0.000198,93.7,0.9014084507042254,0.0985915492957746,35.0,41.9,22.6,58.0,20.1,17.88,3.25,6.01,71.91,비수도권,55.1,A
195,37100,경상북도,경산시,0.000126,123.2,0.9537037037037036,0.0462962962962962,39.9,38.6,24.7,68.2,25.9,15.78,1.51,7.94,74.77,비수도권,55.0,A
196,37310,경상북도,군위군,0.0002729999999999,104.6,0.8888888888888888,0.1111111111111111,36.0,60.9,23.6,60.1,29.6,13.86,2.04,0.0,84.1,비수도권,49.0,B
197,37320,경상북도,의성군,0.000549,117.7,1.0,0.0,43.4,21.2,24.9,54.1,35.5,12.21,1.61,2.97,83.21,비수도권,42.0,C
198,37330,경상북도,청송군,8e-05,131.7,0.6666666666666666,0.3333333333333333,39.1,19.7,24.6,65.3,33.1,25.36,4.76,0.64,69.24,비수도권,53.1,B
199,37340,경상북도,영양군,0.000558,117.6,1.0,0.0,33.9,44.1,27.6,27.2,26.6,12.46,2.38,0.56,84.6,비수도권,54.0,B
200,37350,경상북도,영덕군,0.000167,95.8,1.0,0.0,35.5,38.7,19.1,71.5,20.2,20.47,4.3,2.2,68.47,비수도권,45.2,B
201,37360,경상북도,청도군,4.6e-05,141.0,0.9523809523809524,0.0476190476190476,33.9,34.8,23.8,61.4,29.4,10.7,1.48,0.96,86.86,비수도권,47.6,B
202,37370,경상북도,고령군,0.000193,101.2,1.0,0.0,36.8,25.2,24.9,60.3,35.3,9.04,0.44,10.72,79.45,비수도권,50.2,B
203,37380,경상북도,성주군,0.000157,144.2,1.0,0.0,38.0,44.1,14.0,53.9,21.3,18.84,1.68,18.15,61.33,비수도권,57.0,A
204,37390,경상북도,칠곡군,0.0001709999999999,86.1,0.9117647058823528,0.088235294117647,39.1,43.0,26.5,60.5,18.0,7.99,0.49,4.4,87.13,비수도권,57.8,A
205,37400,경상북도,예천군,0.000104,107.1,0.5,0.5,34.8,23.7,19.6,63.1,18.5,36.44,5.1,0.91,57.55,비수도권,51.7,B
